# Card Name;Card Number-Rarity;Side;Neo-Standard Class;Type;Color;Traits;Level;Cost;Power;Trigger;Soul;Product;Own
Optimistic Lime Bell;AW/S18-E035-R;Schwarz;Accel・World;Character;Green;Avatar/Time;1;1;6000;;1;Accel・World;0
OVER ZONE;NIK/S117-E112-CR|NIK/S117-E112EX-RRR+|NIK/S117-E112R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Blue;Soul/Gate;Booster Pack GODDESS OF VICTORY: NIKKE;0
Peak of Impudence, Niko;AW/S18-E075-C;Schwarz;Accel・World;Character;Red;Net;2;2;7500;Soul;2;Accel・World;0
Piercing Red Fang;NIK/S117-E080-U|NIK/S117-E080S-SR|NIK/S117-PE11EX-PR+|NIK/S117-PE11S-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Event;Red;1;1;;Booster Pack GODDESS OF VICTORY: NIKKE;0
Pile Driver;AW/S18-E097-U;Schwarz;Accel・World;Event;Blue;1;1;;Accel・World;0
Pink Pig, Haruyuki;AW/S18-E017-C;Schwarz;Accel・World;Character;Yellow;Avatar/Animal;0;0;1000;;1;Accel・World;0
Pony Tail Kuroyukihime;AW/S18-E023-C;Schwarz;Accel・World;Character;Yellow;Student Council/Net;2;1;8000;Soul;1;Accel・World;0
Privaty: Unkind Maid;NIK/S117-E086-RR|NIK/S117-E086S-SR|NIK/S117-E086SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Maid For You;2;1;5500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Proceeding With the Plan, Rapi;NIK/S117-E010-R|NIK/S117-E010EX-SEC+|NIK/S117-E010S-SR|NIK/S117-E010SP-SP|NIK/S117-PE03-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;3;2;10000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
Promised Reward, Kuroyukihime;AW/S43-E020-C;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;0;0;2500;;1;Accel・World -Infinite Burst-;0
Pure Desire to Monopolize, Kuroyukihime;AW/S18-E008-R|AW/S18-E008S-SR;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;2;2;7500;Soul;2;Accel・World;0
Pure Love, Modernia;NIK/S117-E067-R|NIK/S117-E067S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Heretic;3;2;10000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
Puritanical Pilgrim, Snow White;NIK/S117-TE15-TD|NIK/S117-TE15R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Pioneer;0;0;2000;;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
Purple Thorn;AW/S43-E090-C;Schwarz;Accel・World;Character;Blue;Avatar/Lightning;0;0;1000;;1;Accel・World -Infinite Burst-;0
Pursuit of Firepower, Neon;NIK/S117-E004-R|NIK/S117-E004S-SR|NIK/S117-PE01-PR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;0;0;1000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Pyro Dealer;AW/S18-E051-U;Schwarz;Accel・World;Event;Green;1;0;;Accel・World;0
Quiet Love, Rin;AW/S43-E032-R|AW/S43-E032S-SR;Schwarz;Accel・World;Character;Green;Net/Bike;0;0;4000;;1;Accel・World -Infinite Burst-;0
Rain & Leopard;AW/S18-E060-R;Schwarz;Accel・World;Character;Red;Avatar/Weapon;1;0;4000;;1;Accel・World;0
Rapi: Classic Vacation;NIK/S117-E011-U|NIK/S117-E011S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Counters;0;0;1500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;1
Real Strength, Kuroyukihime;AW/S18-E014-U;Schwarz;Accel・World;Character;Yellow;Student Council/Net;2;1;5500;Soul;1;Accel・World;0
Reasonable 《Acceleration》, Haruyuki;AW/S43-E022-C;Schwarz;Accel・World;Character;Yellow;Net/Game;1;1;6500;;1;Accel・World -Infinite Burst-;0
RED ASH;NIK/S117-E083-CR|NIK/S117-E083EX-RRR+|NIK/S117-E083R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Red;Comeback;Booster Pack GODDESS OF VICTORY: NIKKE;0
Reliable Partner, Cyan Pile;AW/S18-E087-U;Schwarz;Accel・World;Character;Blue;Avatar/Weapon;0;0;2500;;1;Accel・World;0
Return to Reality;AW/S43-E050-C;Schwarz;Accel・World;Event;Green;1;0;;Accel・World -Infinite Burst-;0
Rousing Battlecry, Kuroyukihime;AW/S43-E007-R;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;1;0;6500;;1;Accel・World -Infinite Burst-;0
Ruka Asato;AW/S18-E093-C;Schwarz;Accel・World;Character;Blue;Sports/Net;1;0;5500;;1;Accel・World;0
Rupee: Winter Shopper;NIK/S117-E030-RR|NIK/S117-E030S-SR|NIK/S117-E030SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Green;NIKKE/Talentum;0;0;500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Scarlet: Black Shadow;NIK/S117-E085-RR|NIK/S117-E085EX-SEC+|NIK/S117-E085S-SR|NIK/S117-E085SP-SP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Goddess;0;0;500;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
School Madonna, Kuroyukihime;AW/S18-E019-C;Schwarz;Accel・World;Character;Yellow;Student Council/Net;0;0;3000;;1;Accel・World;0
Sea of Cushions, Chiyuri;AW/S18-E031-RR|AW/S18-E031R-RRR;Schwarz;Accel・World;Character;Green;Avatar/Animal;1;0;1500;;1;Accel・World;0
SEA, YOU, AGAIN;NIK/S117-E026-CR|NIK/S117-E026R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Yellow;Choice;Booster Pack GODDESS OF VICTORY: NIKKE;0
Seaside Vacation, Chiyuri;AW/S43-E030-RR|AW/S43-E030R-RRR;Schwarz;Accel・World;Character;Green;Sports/Net;3;2;8500;Soul;2;Accel・World -Infinite Burst-;0
Seiji Nomi;AW/S18-E039-U;Schwarz;Accel・World;Character;Green;Sports/Net;0;0;2500;;1;Accel・World;0
Shine Once More;BD/WE34-TE19-TD|BD/WE34-TE19S-SR;Weiβ;BanG Dream!;Climax;Blue;Draw;BanG Dream! Girls Band Party [Morfonica];4
Silent Beauty, Aqua Current;AW/S18-E096-C;Schwarz;Accel・World;Character;Blue;Net/Glasses;2;2;9000;Soul;2;Accel・World;0
Silver Cat, Chiyuri;AW/S18-E045-C;Schwarz;Accel・World;Character;Green;Avatar/Animal;0;0;3000;;1;Accel・World;0
Silver Crow Embracing the Monarch;AW/S43-E016-U;Schwarz;Accel・World;Character;Yellow;Avatar;2;1;6000;Soul;1;Accel・World -Infinite Burst-;0
Silver Wings, Silver Crow;AW/S18-E022-C;Schwarz;Accel・World;Character;Yellow;Avatar;1;1;6500;;1;Accel・World;0
Snow White: Innocent Days;NIK/S117-E092-R|NIK/S117-E092S-SR|NIK/S117-E092SSP-SSP;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Blue;NIKKE/Goddess;2;1;5500;Soul;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Sparkling Accessory, Naga;NIK/S117-E022-C|NIK/S117-E022S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Dazzling Pearl;1;0;4000;;1;Booster Pack GODDESS OF VICTORY: NIKKE;0
Special Exception for a Childhood Friend;AW/S43-E051-CR;Schwarz;Accel・World;Climax;Green;Soul/Treasure;Accel・World -Infinite Burst-;0
Stable Person, Utai;AW/S43-E071-C;Schwarz;Accel・World;Character;Red;Avatar/Animal;1;1;1000;Soul;1;Accel・World -Infinite Burst-;0
Strategist Position, Takumu;AW/S43-E091-C;Schwarz;Accel・World;Character;Blue;Avatar;0;0;2500;;1;Accel・World -Infinite Burst-;0
Strategy Meeting, Chiyuri;AW/S43-E048-C;Schwarz;Accel・World;Character;Green;Sports/Net;2;1;7500;Soul;1;Accel・World -Infinite Burst-;0
Strongest Name, C.K;AW/S18-E067-U;Schwarz;Accel・World;Character;Red;Avatar/Mecha;2;1;8000;Soul;1;Accel・World;0
Sugary Desserts, Tia;NIK/S117-E017-U|NIK/S117-E017S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Dazzling Pearl;3;2;9000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;1
Summer Festival, Akira;AW/S43-E089-C;Schwarz;Accel・World;Character;Blue;Net/Glasses;0;0;500;;1;Accel・World -Infinite Burst-;0
Summer Festival, Chiyuri;AW/S43-E046-C;Schwarz;Accel・World;Character;Green;Sports/Net;1;1;8000;;1;Accel・World -Infinite Burst-;0
Summer Festival, Fuko;AW/S43-E082-R;Schwarz;Accel・World;Character;Blue;Net;1;0;5500;;1;Accel・World -Infinite Burst-;0
Summer Festival, Kuroyukihime;AW/S43-E004-R|AW/S43-E004S-SR;Schwarz;Accel・World;Character;Yellow;Student Council/Net;0;0;2500;;1;Accel・World -Infinite Burst-;0
Summer Festival, Rin;AW/S43-E045-C;Schwarz;Accel・World;Character;Green;Net/Bike;1;0;5500;;1;Accel・World -Infinite Burst-;0
Summer Festival, Utai;AW/S43-E057-R|AW/S43-E057S-SR;Schwarz;Accel・World;Character;Red;Net/Animal;0;0;1500;;1;Accel・World -Infinite Burst-;0
Summer Night's Slumber;AW/S43-E098-CR;Schwarz;Accel・World;Climax;Blue;Gate/Soul;Accel・World -Infinite Burst-;0
Sunny Smile, Chiyuri;AW/S18-E048-C;Schwarz;Accel・World;Character;Green;Sports/Net;1;1;7000;;1;Accel・World;0
Suspicious Gaze, Chiyuri;AW/S18-E044-C;Schwarz;Accel・World;Character;Green;Sports/Net;0;0;2000;;1;Accel・World;0
Taking Care of Friends, Chiyuri;AW/S18-E036-R;Schwarz;Accel・World;Character;Green;Sports/Net;2;1;7500;Soul;1;Accel・World;0
The Boy Who Wanted Wings, Haruyuki;AW/S18-E016-C;Schwarz;Accel・World;Character;Yellow;Net;0;0;500;;1;Accel・World;0
The Heart That Yearns for the Sky;AW/S18-E027-CR;Schwarz;Accel・World;Climax;Yellow;Soul/Soul;Accel・World;0
The Light Reflected in Her Eyes;NIK/S117-TE11-TD|NIK/S117-TE11R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Event;Yellow;3;0;;Trial Deck GODDESS OF VICTORY: NIKKE;2
To Elysium! Alice;NIK/S117-TE08|NIK/S117-TE08R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Yellow;NIKKE/Unlimited;2;1;7500;Soul;1;Trial Deck GODDESS OF VICTORY: NIKKE;2
To My Greatest Friends, Red Hood;NIK/S117-E065-R|NIK/S117-E065S-SR;Schwarz;GODDESS OF VICTORY: NIKKE;Character;Red;NIKKE/Goddess;3;2;9000;Soul;2;Booster Pack GODDESS OF VICTORY: NIKKE;0
To the Unexplored Heights of Mankind, Haruyuki;AW/S18-E015-U;Schwarz;Accel・World;Character;Yellow;Net;2;1;8000;Soul;1;Accel・World;0
Traversing Through the Black Cloud, Lime Bell;AW/S43-E038-U;Schwarz;Accel・World;Character;Green;Avatar/Time;2;1;4500;Soul;1;Accel・World -Infinite Burst-;0
Traversing Through the Black Cloud, Sky Raker;AW/S43-E083-R;Schwarz;Accel・World;Character;Blue;Avatar;1;1;5500;;1;Accel・World -Infinite Burst-;0
Twilight Promise, Kuroyukihime;AW/S18-E013-U;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;1;1;6000;;1;Accel・World;0
Uneasy Feeling, Kuroyukihime;AW/S43-E012-U;Schwarz;Accel・World;Character;Yellow;Student Council/Net;1;0;2000;;1;Accel・World -Infinite Burst-;0
Unforeseen Circumstances, Kuroyukihime;AW/S43-E011-U;Schwarz;Accel・World;Character;Yellow;Student Council/Net;0;0;4000;;1;Accel・World -Infinite Burst-;0
Unlimited Field, Cyan Pile;AW/S18-E095-C;Schwarz;Accel・World;Character;Blue;Avatar/Weapon;2;2;8500;Soul;2;Accel・World;0
Vacillating Memories, Kuroyukihime;AW/S43-E003-R|AW/S43-E003S-SR;Schwarz;Accel・World;Character;Yellow;Student Council/Avatar;0;0;1000;;1;Accel・World -Infinite Burst-;0
Victory to Humanity;NIK/S117-E029-CR|NIK/S117-E029EX-RRR+|NIK/S117-E029R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Yellow;Soul/Shot;Booster Pack GODDESS OF VICTORY: NIKKE;0
Vorpal Strike;AW/S43-E029-CC;Schwarz;Accel・World;Climax;Yellow;Soul/Shot;Accel・World -Infinite Burst-;0
Waking from Siesta, Kuroyukihime;AW/S43-E018-C;Schwarz;Accel・World;Character;Yellow;Student Council/Net;0;0;1500;;1;Accel・World -Infinite Burst-;0
White Duel Avatar;AW/S43-E043-C;Schwarz;Accel・World;Character;Green;Avatar;0;0;2000;;1;Accel・World -Infinite Burst-;0
Will of Opposition, Haruyuki;AW/S43-E015-U;Schwarz;Accel・World;Character;Yellow;Net/Game;2;1;6000;Soul;1;Accel・World -Infinite Burst-;0
Wings of Paradise;NIK/S117-TE22-TD|NIK/S117-TE22R-RRR;Schwarz;GODDESS OF VICTORY: NIKKE;Climax;Red;Comeback;Trial Deck GODDESS OF VICTORY: NIKKE;4
Winter's Day Niko;AW/S43-E059-R|AW/S43-E059R-RRR;Schwarz;Accel・World;Character;Red;Net;1;0;4000;;1;Accel・World -Infinite Burst-;0
Yellow Radio;AW/S43-E019-C;Schwarz;Accel・World;Character;Yellow;Avatar/Jester;0;0;2000;;1;Accel・World -Infinite Burst-;0
Younger Days, Chiyuri;AW/S18-E043-C;Schwarz;Accel・World;Character;Green;Sports/Net;0;0;1000;;1;Accel・World;0
Yuniko Kozuki;AW/S18-E057-RR|AW/S18-E057SP-SP;Schwarz;Accel・World;Character;Red;Net;3;2;10000;Soul;2;Accel・World;0
Finn the Human & Jake the Dog;AT/WX02-001-RR|AT/WX02-001S-SR;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;3;2;9000;Soul;2;Adventure Time;0
Finn the Human;AT/WX02-002-RR|AT/WX02-002SP-SP;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;3;2;9500;Soul;2;Adventure Time;0
Finn: Heroic Pose;AT/WX02-003-RR|AT/WX02-003S-SR;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;0;0;1500;;1;Adventure Time;0
Jake the Dog;AT/WX02-004-RR|AT/WX02-004SP-SP;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;3;2;8500;Soul;2;Adventure Time;0
Jake: Mocking Imitation;AT/WX02-005-RR|AT/WX02-005S-SR;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;1;0;4500;;1;Adventure Time;0
Finn: Trusty Weapon;AT/WX02-006-R;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;1;0;5000;;1;Adventure Time;0
Finn: What Was Missing;AT/WX02-007-R;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;1;0;3500;;1;Adventure Time;0
Finn: Demonic Disguise;AT/WX02-008-R;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;0;0;2000;;1;Adventure Time;0
Jake: Demonic Disguise;AT/WX02-009-R;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;1;1;4500;Soul;1;Adventure Time;0
Jake: Infected;AT/WX02-010-R|AT/WX02-010S-SR;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;0;0;1000;;1;Adventure Time;0
Cake the Cat;AT/WX02-011-R;Weiβ;Adventure Time;Character;Yellow;Fanfiction;2;1;6000;Soul;1;Adventure Time;0
Flame Princess;AT/WX02-012-R|AT/WX02-012S-SR;Weiβ;Adventure Time;Character;Yellow;Ooo/Royalty;0;0;1500;;1;Adventure Time;0
Finn & Jake: Working as a Team;AT/WX02-013-U;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;1;0;2000;;1;Adventure Time;0
Finn: Prince Hotbod;AT/WX02-014-U;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;1;0;4000;;1;Adventure Time;0
Jake: Finding His Buddy a New Love Interest;AT/WX02-015-U;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;0;0;500;;1;Adventure Time;0
Jake: What Was Missing;AT/WX02-016-U;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;1;0;5000;;1;Adventure Time;0
BMO: Buttons Pushed;AT/WX02-017-U;Weiβ;Adventure Time;Character;Yellow;Ooo;0;0;2000;;1;Adventure Time;0
BMO: Professor Pants;AT/WX02-018-U;Weiβ;Adventure Time;Character;Yellow;Ooo;0;0;500;;1;Adventure Time;0
Billy the Hero;AT/WX02-019-U;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;0;0;4000;;1;Adventure Time;0
Fionna the Human;AT/WX02-020-U;Weiβ;Adventure Time;Character;Yellow;Fanfiction;2;2;6000;Soul;2;Adventure Time;0
Joshua & Margaret;AT/WX02-021-U;Weiβ;Adventure Time;Character;Yellow;Ooo;0;0;500;;1;Adventure Time;0
Finn: Protected from the Cold;AT/WX02-022-C;Weiβ;Adventure Time;Character;Yellow;Ooo/Hero;0;0;2000;;1;Adventure Time;0

# Working through Adventure Time

Strange Entity, Turbo Granny;DDD/S118-E006-R|DDD/S118-E006S-SR|DDD/S118-E006SP-SP;Schwarz;TV Anime “DANDADAN”;Character;Yellow;Strange/Modern Yokai;2;1;1000;Soul;1;Booster Pack TV Anime “DANDADAN”;1
Strategic Lunchtime Meeting, Okarun;DDD/S118-E013-U|DDD/S118-E013S-SR;Schwarz;TV Anime “DANDADAN”;Character;Yellow;Human/Occult;3;2;9500;Soul;2;Booster Pack TV Anime “DANDADAN”;1
World of Occult;DDD/S118-E019-CR|DDD/S118-E019EX-RRR+|DDD/S118-E019R-RRR;Schwarz;TV Anime “DANDADAN”;Climax;Yellow;Choice;Booster Pack TV Anime “DANDADAN”;1
A Reliable Ally! Queen Sensei;DDD/S118-E032-U|DDD/S118-E032S-SR;Schwarz;TV Anime “DANDADAN”;Character;Green;Human/Infirmary;2;1;3000;Soul;1;Booster Pack TV Anime “DANDADAN”;1
Bloomed Psychic Powers, Momo;DDD/S118-E048-RR|DDD/S118-E048EX-SEC+|DDD/S118-E048S-SR|DDD/S118-E048SP-SP;Schwarz;TV Anime “DANDADAN”;Character;Red;Human/Psychic Ability;3;2;10500;Soul;2;Booster Pack TV Anime “DANDADAN”;1
Casual Wear, Momo;DDD/S118-E052-R|DDD/S118-E052S-SR|DDD/S118-E052SP-SP;Schwarz;TV Anime “DANDADAN”;Character;Red;Human/Psychic Ability;1;0;5000;;1;Booster Pack TV Anime “DANDADAN”;1
Campus Life, Turbo Granny;DDD/S118-E059-U|DDD/S118-E059S-SR;Schwarz;TV Anime “DANDADAN”;Character;Red;Strange/Beckoning Cat;0;0;3500;;1;Booster Pack TV Anime “DANDADAN”;1
That's Against the Rules! Momo;DDD/S118-E065-U|DDD/S118-E065S-SR;Schwarz;TV Anime “DANDADAN”;Character;Red;Human/Psychic Ability;3;2;10500;Soul;2;Booster Pack TV Anime “DANDADAN”;1
The Last Hope, Seiko;DDD/S118-E066-C|DDD/S118-E066S-SR;Schwarz;TV Anime “DANDADAN”;Character;Red;Human/Spirit Medium;0;0;1000;;1;Booster Pack TV Anime “DANDADAN”;1
Startling Smile, Momo;DDD/S118-E067-C|DDD/S118-E067S-SR;Schwarz;TV Anime “DANDADAN”;Character;Red;Human/Psychic Ability;0;0;2000;;1;Booster Pack TV Anime “DANDADAN”;1
Reason She Believes in Ghosts, Momo;DDD/S118-E070-C|DDD/S118-E070S-SR;Schwarz;TV Anime “DANDADAN”;Character;Red;Human/Psychic Ability;1;0;1500;;1;Booster Pack TV Anime “DANDADAN”;2
Turbo Granny and Gentle Rain;DDD/S118-E078-CR|DDD/S118-E078R-RRR;Schwarz;TV Anime “DANDADAN”;Climax;Red;Comeback;Booster Pack TV Anime “DANDADAN”;1
A Promise, Dover Demon;DDD/S118-E083-U|DDD/S118-E083S-SR;Schwarz;TV Anime “DANDADAN”;Character;Blue;Strange/Mantis Shrimp;0;0;2000;;1;Booster Pack TV Anime “DANDADAN”;1
Taro;DDD/S118-E088-C|DDD/S118-E088S-SR;Schwarz;TV Anime “DANDADAN”;Character;Blue;Strange/Anatomical Model;0;0;1500;;1;Booster Pack TV Anime “DANDADAN”;1
Wanting to Get Dressed, Okarun;DDD/S118-E090-C|DDD/S118-E090S-SR;Schwarz;TV Anime “DANDADAN”;Character;Blue;Human/Occult;0;0;1500;;1;Booster Pack TV Anime “DANDADAN”;1

“Aristocrat Daughter” Darkness;KS/W75-E023-C;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Character;Yellow;Adventurer/Worries;1;0;4000;;1;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
“Crimson Demon” Megumin;KS/W75-E056-U;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Character;Red;Adventurer/Magic;3;2;9500;Soul;2;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
“Objection!” Megumin;KS/W75-E063-C;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Character;Red;Adventurer/Magic;2;1;2500;Soul;1;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
“Elite Goddess In Charge of Japan...?” Aqua;KS/W75-E076-R|KS/W75-E076S-SR;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Character;Blue;Adventurer/Goddess;0;0;1500;;1;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
Swimsuit Eris;KS/W75-E079-U;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Character;Blue;Goddess;0;0;500;;1;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
Swimsuit Aqua;KS/W75-E080-U;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Character;Blue;Adventurer/Goddess;1;0;4000;;1;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
“New Skill to Applause” Aqua;KS/W75-E089-C;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Character;Blue;Adventurer/Goddess;1;0;4000;;1;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
In the Name of the Goddess;KS/W75-E097-CR|KS/W75-E097R-RRR;Weiβ;KONOSUBA -God’s blessing on this wonderful world!;Climax;Blue;Soul/Soul;KONOSUBA -God’s blessing on this wonderful world! Re:Edit;1
